hotel,market_segment,deposit_type,customer_type,agent_campany,lead_time_category,total_bookings,canceled_bookings,cancellation_rate,avg_adr,avg_stay_duration
Resort Hotel,Direct,No Deposit,Transient,Direct,181-365 Days,89,13,14.61,134.85,7.85
Resort Hotel,Direct,No Deposit,Transient,Direct,365+ Days,4,2,50.0,42.2,9.0
Resort Hotel,Direct,No Deposit,Transient,Direct,0-30 Days,2356,170,7.22,85.67,1.83
Resort Hotel,Corporate,No Deposit,Transient,Agent,0-30 Days,116,10,8.62,48.52,1.78
Resort Hotel,Online TA,No Deposit,Transient,Agent,0-30 Days,5689,960,16.87,104.19,2.65
Resort Hotel,Direct,No Deposit,Transient,Agent,0-30 Days,1147,133,11.6,121.68,2.9
Resort Hotel,Online TA,No Deposit,Transient,Agent,31-90 Days,4106,1694,41.26,119.42,4.43
Resort Hotel,Offline TA/TO,No Deposit,Transient,Agent,31-90 Days,1000,114,11.4,77.91,5.86
Resort Hotel,Offline TA/TO,No Deposit,Contract,Agent,31-90 Days,271,18,6.64,74.53,7.27
Resort Hotel,Corporate,No Deposit,Transient,Company,0-30 Days,1196,115,9.62,49.86,1.6
Resort Hotel,Direct,No Deposit,Transient,Agent,31-90 Days,671,150,22.35,139.34,4.8
Resort Hotel,Offline TA/TO,No Deposit,Contract,Agent,91-180 Days,566,29,5.12,81.24,8.88
Resort Hotel,Online TA,No Deposit,Transient,Agent,91-180 Days,3239,1582,48.84,126.87,5.48
Resort Hotel,Direct,No Deposit,Transient,Direct,91-180 Days,218,32,14.68,139.64,7.61
Resort Hotel,Offline TA/TO,No Deposit,Transient,Agent,91-180 Days,1108,173,15.61,87.6,6.97
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,91-180 Days,156,31,19.87,97.63,5.63
Resort Hotel,Offline TA/TO,No Deposit,Transient,Agent,0-30 Days,1309,93,7.1,50.06,3.58
Resort Hotel,Offline TA/TO,No Deposit,Contract,Agent,365+ Days,42,9,21.43,79.76,10.88
Resort Hotel,Offline TA/TO,No Deposit,Contract,Agent,181-365 Days,618,73,11.81,79.81,9.49
Resort Hotel,Direct,No Deposit,Transient,Agent,91-180 Days,489,115,23.52,154.16,5.91
Resort Hotel,Offline TA/TO,No Deposit,Contract,Agent,0-30 Days,107,7,6.54,89.57,5.68
Resort Hotel,Complementary,No Deposit,Transient,Direct,31-90 Days,19,6,31.58,7.68,1.84
Resort Hotel,Online TA,No Deposit,Transient-Party,Agent,91-180 Days,255,42,16.47,117.12,5.23
Resort Hotel,Direct,No Deposit,Transient,Direct,31-90 Days,334,52,15.57,141.87,5.37
Resort Hotel,Online TA,No Deposit,Transient,Agent,181-365 Days,2138,1236,57.81,122.29,6.57
Resort Hotel,Direct,No Deposit,Transient-Party,Direct,0-30 Days,142,13,9.15,91.6,2.59
Resort Hotel,Direct,No Deposit,Transient,Agent,181-365 Days,302,94,31.13,139.3,6.4
Resort Hotel,Corporate,No Deposit,Transient,Company,31-90 Days,43,6,13.95,76.61,1.93
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,31-90 Days,116,10,8.62,75.11,4.19
Resort Hotel,Direct,No Deposit,Transient-Party,Direct,31-90 Days,44,6,13.64,131.92,6.07
Resort Hotel,Corporate,No Deposit,Transient,Direct,0-30 Days,113,9,7.96,49.74,1.34
Resort Hotel,Groups,No Deposit,Transient-Party,Agent,31-90 Days,158,40,25.32,61.15,4.97
Resort Hotel,Groups,No Deposit,Transient,Agent,31-90 Days,10,1,10.0,62.86,3.3
Resort Hotel,Direct,No Deposit,Transient-Party,Agent,0-30 Days,79,6,7.59,96.11,2.34
Resort Hotel,Direct,No Deposit,Transient,Company,0-30 Days,89,13,14.61,57.87,1.53
Resort Hotel,Offline TA/TO,No Deposit,Transient,Agent,181-365 Days,815,157,19.26,89.13,7.88
Resort Hotel,Online TA,No Deposit,Group,Agent,0-30 Days,60,0,0.0,66.97,1.75
Resort Hotel,Online TA,No Deposit,Group,Company,0-30 Days,3,0,0.0,79.43,1.0
Resort Hotel,Online TA,No Deposit,Transient-Party,Agent,31-90 Days,281,15,5.34,108.42,3.74
Resort Hotel,Online TA,No Deposit,Transient-Party,Agent,0-30 Days,476,11,2.31,102.54,2.16
Resort Hotel,Online TA,No Deposit,Transient,Direct,0-30 Days,76,10,13.16,93.2,2.59
Resort Hotel,Direct,No Deposit,Transient-Party,Direct,91-180 Days,35,2,5.71,136.93,6.63
Resort Hotel,Offline TA/TO,No Deposit,Transient,Direct,0-30 Days,12,3,25.0,127.73,2.83
Resort Hotel,Groups,No Deposit,Transient-Party,Company,31-90 Days,15,2,13.33,116.33,4.47
Resort Hotel,Groups,No Deposit,Transient,Company,31-90 Days,2,0,0.0,181.5,1.0
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,0-30 Days,165,14,8.48,50.56,2.2
Resort Hotel,Groups,No Deposit,Transient-Party,Agent,0-30 Days,127,28,22.05,58.95,3.28
Resort Hotel,Corporate,No Deposit,Transient-Party,Company,91-180 Days,13,1,7.69,54.58,3.0
Resort Hotel,Corporate,No Deposit,Transient,Company,91-180 Days,6,0,0.0,66.78,2.17
Resort Hotel,Corporate,No Deposit,Transient-Party,Company,0-30 Days,228,22,9.65,51.86,3.18
Resort Hotel,Direct,No Deposit,Group,Direct,181-365 Days,12,11,91.67,10.55,6.0
Resort Hotel,Direct,No Deposit,Transient-Party,Agent,181-365 Days,24,1,4.17,124.44,7.79
Resort Hotel,Groups,Refundable,Transient-Party,Agent,0-30 Days,1,0,0.0,128.0,2.0
Resort Hotel,Offline TA/TO,No Deposit,Group,Agent,181-365 Days,12,5,41.67,59.23,8.58
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,181-365 Days,123,16,13.01,82.21,4.43
Resort Hotel,Offline TA/TO,No Deposit,Transient,Direct,31-90 Days,2,1,50.0,141.75,2.5
Resort Hotel,Complementary,No Deposit,Transient,Direct,0-30 Days,99,13,13.13,3.31,1.84
Resort Hotel,Online TA,No Deposit,Group,Agent,91-180 Days,4,1,25.0,93.81,3.75
Resort Hotel,Groups,No Deposit,Transient-Party,Agent,91-180 Days,157,36,22.93,63.14,5.92
Resort Hotel,Direct,No Deposit,Transient-Party,Agent,91-180 Days,33,3,9.09,149.95,5.94
Resort Hotel,Groups,No Deposit,Transient-Party,Agent,181-365 Days,434,71,16.36,64.56,5.24
Resort Hotel,Direct,No Deposit,Transient-Party,Company,0-30 Days,23,1,4.35,61.44,1.7
Resort Hotel,Online TA,No Deposit,Transient-Party,Direct,0-30 Days,5,0,0.0,109.4,1.8
Resort Hotel,Groups,Non Refund,Transient,Agent,31-90 Days,21,21,100.0,48.24,5.14
Resort Hotel,Online TA,No Deposit,Transient-Party,Agent,181-365 Days,183,46,25.14,103.51,5.81
Resort Hotel,Groups,Non Refund,Transient,Agent,91-180 Days,25,25,100.0,69.87,6.16
Resort Hotel,Corporate,No Deposit,Transient-Party,Direct,31-90 Days,3,0,0.0,59.17,3.0
Resort Hotel,Corporate,No Deposit,Contract,Direct,31-90 Days,3,0,0.0,60.0,3.33
Resort Hotel,Direct,No Deposit,Contract,Agent,31-90 Days,12,1,8.33,54.17,2.5
Resort Hotel,Corporate,No Deposit,Contract,Agent,0-30 Days,8,0,0.0,46.58,2.88
Resort Hotel,Corporate,No Deposit,Contract,Agent,31-90 Days,6,4,66.67,51.17,3.33
Resort Hotel,Corporate,No Deposit,Transient,Direct,31-90 Days,11,3,27.27,63.23,2.18
Resort Hotel,Offline TA/TO,No Deposit,Transient,Agent,365+ Days,4,1,25.0,61.04,11.25
Resort Hotel,Online TA,No Deposit,Transient,Company,0-30 Days,9,0,0.0,46.68,1.78
Resort Hotel,Groups,No Deposit,Transient-Party,Company,0-30 Days,151,11,7.28,49.71,3.25
Resort Hotel,Groups,No Deposit,Transient-Party,Direct,31-90 Days,120,22,18.33,85.3,3.46
Resort Hotel,Groups,No Deposit,Transient-Party,Direct,0-30 Days,85,25,29.41,52.48,2.82
Resort Hotel,Groups,No Deposit,Transient,Direct,0-30 Days,42,6,14.29,45.66,2.05
Resort Hotel,Complementary,No Deposit,Transient,Agent,0-30 Days,30,3,10.0,0.47,1.5
Resort Hotel,Groups,Non Refund,Transient,Direct,91-180 Days,11,11,100.0,67.27,2.09
Resort Hotel,Groups,Non Refund,Contract,Agent,91-180 Days,1,1,100.0,36.0,23.0
Resort Hotel,Groups,No Deposit,Transient,Direct,91-180 Days,32,5,15.63,52.35,2.19
Resort Hotel,Groups,No Deposit,Transient-Party,Direct,91-180 Days,85,21,24.71,79.67,4.44
Resort Hotel,Groups,Non Refund,Transient-Party,Direct,91-180 Days,1,1,100.0,36.0,1.0
Resort Hotel,Corporate,No Deposit,Transient-Party,Agent,31-90 Days,7,5,71.43,42.86,5.57
Resort Hotel,Corporate,No Deposit,Transient-Party,Company,31-90 Days,139,25,17.99,47.99,4.92
Resort Hotel,Direct,No Deposit,Group,Company,0-30 Days,7,0,0.0,61.25,1.57
Resort Hotel,Online TA,Non Refund,Transient,Agent,0-30 Days,4,4,100.0,143.75,1.0
Resort Hotel,Groups,No Deposit,Transient,Agent,91-180 Days,14,1,7.14,65.88,5.07
Resort Hotel,Offline TA/TO,No Deposit,Transient,Company,0-30 Days,18,1,5.56,52.03,1.22
Resort Hotel,Offline TA/TO,Non Refund,Transient,Agent,181-365 Days,10,10,100.0,54.31,5.2
Resort Hotel,Offline TA/TO,Non Refund,Transient-Party,Agent,31-90 Days,1,1,100.0,25.0,2.0
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Direct,0-30 Days,9,7,77.78,48.11,4.11
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Direct,91-180 Days,3,1,33.33,73.0,7.0
Resort Hotel,Groups,No Deposit,Transient-Party,Company,91-180 Days,75,3,4.0,54.84,4.52
Resort Hotel,Groups,Refundable,Transient-Party,Company,91-180 Days,52,5,9.62,65.3,3.79
Resort Hotel,Groups,Non Refund,Transient-Party,Company,0-30 Days,9,3,33.33,46.39,1.11
Resort Hotel,Groups,Non Refund,Transient-Party,Agent,91-180 Days,9,2,22.22,66.72,2.0
Resort Hotel,Groups,No Deposit,Transient,Agent,181-365 Days,29,0,0.0,66.99,4.14
Resort Hotel,Groups,Non Refund,Transient,Agent,181-365 Days,45,45,100.0,63.07,5.22
Resort Hotel,Groups,Non Refund,Transient-Party,Agent,181-365 Days,4,3,75.0,83.2,3.25
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Direct,181-365 Days,19,6,31.58,77.97,2.84
Resort Hotel,Offline TA/TO,No Deposit,Transient,Direct,181-365 Days,10,1,10.0,103.8,8.8
Resort Hotel,Online TA,No Deposit,Transient,Direct,31-90 Days,17,4,23.53,146.47,4.88
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Direct,31-90 Days,1,1,100.0,47.0,4.0
Resort Hotel,Groups,No Deposit,Transient,Agent,0-30 Days,12,0,0.0,45.86,2.25
Resort Hotel,Groups,No Deposit,Transient-Party,Agent,365+ Days,70,6,8.57,56.79,3.99
Resort Hotel,Groups,Non Refund,Transient-Party,Direct,0-30 Days,1,1,100.0,8.0,1.0
