hotel,arrival_date_year,arrival_date_month,market_segment,customer_type,deposit_type,lead_time_category,canceled_bookings,lost_revenue,avg_adr,avg_stay_duration
Resort Hotel,2015,July,Online TA,Transient,No Deposit,31-90 Days,99,61502.98,137.18,4.46
Resort Hotel,2015,July,Offline TA/TO,Transient,No Deposit,31-90 Days,19,14179.52,112.34,6.58
Resort Hotel,2015,July,Online TA,Transient,No Deposit,0-30 Days,33,15065.21,150.25,3.0
Resort Hotel,2015,July,Direct,Transient,No Deposit,91-180 Days,4,2276.1,74.43,7.25
Resort Hotel,2015,July,Online TA,Transient,No Deposit,91-180 Days,48,40666.6,133.35,6.15
Resort Hotel,2015,July,Offline TA/TO,Contract,No Deposit,365+ Days,1,556.8,55.68,10.0
Resort Hotel,2015,July,Direct,Transient,No Deposit,31-90 Days,13,8585.96,132.87,4.62
Resort Hotel,2015,July,Offline TA/TO,Transient,No Deposit,91-180 Days,9,5972.54,111.03,6.22
Resort Hotel,2015,July,Offline TA/TO,Contract,No Deposit,181-365 Days,5,4619.44,91.01,9.8
Resort Hotel,2015,July,Corporate,Transient,No Deposit,0-30 Days,3,446.72,110.91,1.33
Resort Hotel,2015,July,Offline TA/TO,Contract,No Deposit,31-90 Days,4,4683.74,108.79,10.25
Resort Hotel,2015,July,Direct,Transient,No Deposit,181-365 Days,2,2484.0,131.4,9.5
Resort Hotel,2015,July,Groups,Transient-Party,No Deposit,31-90 Days,1,0.0,0.0,2.0
Resort Hotel,2015,July,Direct,Transient,No Deposit,0-30 Days,11,6757.78,136.04,3.91
Resort Hotel,2015,July,Offline TA/TO,Transient,No Deposit,0-30 Days,2,2415.2,153.8,6.5
Resort Hotel,2015,July,Online TA,Transient,No Deposit,181-365 Days,12,7654.6,114.91,5.67
Resort Hotel,2015,July,Offline TA/TO,Transient,No Deposit,181-365 Days,3,3113.23,147.99,7.0
Resort Hotel,2015,August,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,1,354.18,118.06,3.0
Resort Hotel,2015,August,Direct,Transient,No Deposit,31-90 Days,28,27859.39,170.74,5.64
Resort Hotel,2015,August,Direct,Transient-Party,No Deposit,0-30 Days,2,454.0,227.0,1.0
Resort Hotel,2015,August,Online TA,Transient,No Deposit,31-90 Days,109,100924.71,166.04,5.67
Resort Hotel,2015,August,Online TA,Transient,No Deposit,0-30 Days,32,26216.12,204.77,3.94
Resort Hotel,2015,August,Direct,Transient,No Deposit,0-30 Days,16,11809.99,180.21,3.88
Resort Hotel,2015,August,Online TA,Transient,No Deposit,91-180 Days,59,52664.72,145.76,6.03
Resort Hotel,2015,August,Offline TA/TO,Transient,No Deposit,91-180 Days,14,11704.63,124.14,6.93
Resort Hotel,2015,August,Offline TA/TO,Contract,No Deposit,181-365 Days,4,4931.05,112.88,11.25
Resort Hotel,2015,August,Offline TA/TO,Contract,No Deposit,31-90 Days,2,1242.4,115.1,5.5
Resort Hotel,2015,August,Offline TA/TO,Contract,No Deposit,0-30 Days,1,1102.75,220.55,5.0
Resort Hotel,2015,August,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,9,9179.66,129.71,8.0
Resort Hotel,2015,August,Offline TA/TO,Transient,No Deposit,31-90 Days,18,16072.95,146.67,6.11
Resort Hotel,2015,August,Direct,Transient,No Deposit,91-180 Days,8,8227.4,172.93,6.13
Resort Hotel,2015,August,Groups,Transient-Party,No Deposit,31-90 Days,1,191.0,191.0,1.0
Resort Hotel,2015,August,Corporate,Transient,No Deposit,0-30 Days,6,1049.15,174.86,1.0
Resort Hotel,2015,August,Direct,Transient-Party,No Deposit,31-90 Days,1,1603.0,229.0,7.0
Resort Hotel,2015,August,Offline TA/TO,Transient,No Deposit,0-30 Days,1,745.0,149.0,5.0
Resort Hotel,2015,August,Offline TA/TO,Transient,No Deposit,181-365 Days,4,3601.75,111.44,8.25
Resort Hotel,2015,September,Direct,Transient,No Deposit,31-90 Days,10,7219.62,112.46,6.7
Resort Hotel,2015,September,Online TA,Transient,No Deposit,31-90 Days,63,32031.52,98.88,5.21
Resort Hotel,2015,September,Online TA,Transient,No Deposit,91-180 Days,44,23891.72,96.09,5.59
Resort Hotel,2015,September,Online TA,Transient,No Deposit,0-30 Days,12,6889.94,138.21,3.92
Resort Hotel,2015,September,Direct,Transient,No Deposit,91-180 Days,4,3728.96,128.32,7.25
Resort Hotel,2015,September,Online TA,Transient-Party,No Deposit,91-180 Days,4,2150.0,102.5,6.0
Resort Hotel,2015,September,Groups,Transient-Party,No Deposit,0-30 Days,2,527.0,60.5,4.5
Resort Hotel,2015,September,Direct,Group,No Deposit,181-365 Days,4,0.0,0.0,3.5
Resort Hotel,2015,September,Direct,Transient,No Deposit,181-365 Days,7,3163.5,78.62,5.43
Resort Hotel,2015,September,Offline TA/TO,Contract,No Deposit,0-30 Days,4,1462.5,111.47,3.25
Resort Hotel,2015,September,Direct,Transient,No Deposit,0-30 Days,11,5916.64,136.97,3.91
Resort Hotel,2015,September,Offline TA/TO,Transient,No Deposit,0-30 Days,3,1175.7,82.24,4.33
Resort Hotel,2015,September,Offline TA/TO,Group,No Deposit,181-365 Days,4,0.0,0.0,7.0
