country,customer_type,agent_campany,is_repeated_guest,total_bookings,canceled_bookings,avg_adr,estimated_revenue,cancellation_rate
PRT,Transient,Direct,0,3291,649,95.27,905058.15,19.72
GBR,Transient,Direct,0,195,4,92.11,64129.24,2.05
GBR,Transient,Agent,0,7395,1929,105.24,3291708.03,26.09
PRT,Transient,Agent,0,14642,6649,109.28,6149140.82,45.41
USA,Transient,Agent,0,1566,448,128.61,558657.86,28.61
ESP,Transient,Agent,0,5819,1821,128.27,2579946.17,31.29
IRL,Transient,Agent,0,2470,635,103.81,1262148.56,25.71
PRT,Contract,Agent,0,857,498,99.93,354789.91,58.11
FRA,Transient,Company,0,58,1,96.34,15610.25,1.72
GBR,Contract,Agent,0,1255,1,79.53,842831.2,0.08
IRL,Contract,Agent,0,100,0,78.13,58490.87,0.0
Unknown,Transient,Direct,0,146,13,73.23,46661.85,8.9
ROU,Transient,Agent,0,393,118,120.07,232644.08,30.03
ESP,Transient,Direct,0,309,4,108.01,72209.9,1.29
NOR,Transient-Party,Agent,0,59,5,96.15,23138.78,8.47
OMN,Contract,Agent,0,3,0,83.57,2789.8,0.0
ARG,Transient,Agent,0,154,50,116.12,59557.34,32.47
POL,Transient,Agent,0,603,160,114.5,283526.49,26.53
DEU,Transient,Agent,0,4335,1020,109.51,1798550.22,23.53
FRA,Contract,Agent,0,173,0,103.02,58377.44,0.0
BEL,Transient,Agent,0,1666,396,119.41,745340.43,23.77
FRA,Transient,Agent,0,7252,1690,115.93,3129439.41,23.3
CHE,Transient,Agent,0,1339,377,124.45,631980.88,28.16
FRA,Transient-Party,Agent,0,795,20,91.82,243234.5,2.52
CN,Transient,Agent,0,911,225,115.94,374640.56,24.7
GRC,Transient,Agent,0,76,31,110.9,34746.02,40.79
FRA,Transient,Direct,0,309,7,110.37,83139.44,2.27
ITA,Contract,Agent,0,45,0,112.99,19009.25,0.0
NLD,Transient,Direct,0,54,2,105.27,13009.22,3.7
PRT,Transient,Company,0,1434,262,63.18,180514.85,18.27
CHE,Transient,Company,0,12,0,92.2,2704.32,0.0
DNK,Transient-Party,Agent,0,47,2,103.94,16149.76,4.26
RUS,Transient,Agent,0,466,214,129.07,266349.4,45.92
SWE,Transient,Agent,0,634,170,121.52,305568.19,26.81
AUS,Transient,Agent,0,297,91,121.4,101074.89,30.64
PRT,Transient-Party,Direct,0,517,220,93.95,162174.93,42.55
EST,Transient,Agent,0,72,18,117.67,39329.18,25.0
DNK,Transient,Agent,0,307,89,123.34,161013.15,28.99
CZE,Transient,Agent,0,97,33,123.79,40543.78,34.02
BRA,Transient,Agent,0,1671,715,115.56,693488.07,42.79
PRT,Transient-Party,Agent,0,3102,1063,84.66,810042.72,34.27
FIN,Transient,Agent,0,346,60,105.24,146410.62,17.34
ESP,Contract,Agent,0,156,0,110.19,56362.86,0.0
ESP,Transient-Party,Agent,0,677,30,97.61,212684.12,4.43
FIN,Contract,Agent,0,8,0,111.22,5054.65,0.0
IRL,Transient,Direct,0,94,1,103.83,54770.43,1.06
IRL,Transient-Party,Agent,0,268,30,81.44,122310.46,11.19
MOZ,Transient,Agent,0,32,16,132.27,20494.48,50.0
BWA,Transient,Agent,0,1,0,118.5,355.5,0.0
LUX,Transient,Agent,0,225,101,137.47,119669.62,44.89
CN,Transient,Direct,0,30,0,100.59,4523.32,0.0
PRT,Group,Agent,0,90,30,86.45,22532.06,33.33
NLD,Transient,Agent,0,1540,344,112.32,615512.83,22.34
PRT,Group,Company,0,17,3,96.18,2737.8,17.65
NOR,Transient,Agent,0,426,140,129.0,239868.04,32.86
BRA,Transient-Party,Agent,0,158,9,94.55,49033.63,5.7
SVN,Transient,Agent,0,27,7,139.41,15018.7,25.93
ALB,Transient,Agent,0,7,2,85.86,2320.43,28.57
GBR,Transient-Party,Agent,0,789,45,87.98,294632.28,5.7
CN,Transient-Party,Agent,0,127,0,99.64,54578.69,0.0
CHE,Transient-Party,Agent,0,115,6,123.7,55722.01,5.22
IND,Transient,Agent,0,121,34,120.55,47021.29,28.1
CHN,Transient,Agent,0,685,383,117.25,229780.23,55.91
MEX,Transient,Agent,0,52,9,118.33,18153.79,17.31
PRT,Transient-Party,Company,0,600,166,71.24,101156.9,27.67
IRL,Transient,Company,0,11,0,91.45,4264.0,0.0
CHE,Transient,Direct,0,56,1,118.08,23524.4,1.79
CHN,Transient-Party,Agent,0,73,8,100.49,17953.02,10.96
GBR,Group,Agent,0,47,1,101.41,25416.2,2.13
USA,Transient,Direct,0,76,2,121.96,17706.48,2.63
MAR,Transient,Agent,0,186,99,153.17,120432.1,53.23
ROU,Contract,Agent,0,10,0,111.54,3913.2,0.0
ITA,Transient,Agent,0,2385,1040,120.79,1006936.39,43.61
UKR,Transient,Agent,0,49,20,105.63,23206.18,40.82
ITA,Transient-Party,Company,0,33,0,80.75,9719.76,0.0
SMR,Transient-Party,Company,0,1,0,88.2,264.6,0.0
FRA,Transient-Party,Company,0,63,6,78.78,13864.6,9.52
PRT,Group,Direct,0,22,15,77.65,3042.25,68.18
ITA,Transient,Company,0,43,1,97.36,13157.3,2.33
DEU,Contract,Agent,0,110,0,96.5,56403.95,0.0
LVA,Transient,Agent,0,40,7,104.68,17506.67,17.5
PRI,Transient,Agent,0,3,1,114.49,834.92,33.33
SRB,Transient,Agent,0,25,3,111.69,11713.49,12.0
GBR,Transient,Company,0,42,2,88.25,10513.6,4.76
BRA,Group,Agent,0,12,0,116.47,3136.26,0.0
SWE,Contract,Agent,0,19,0,118.11,8779.07,0.0
IRL,Group,Agent,0,5,0,113.09,1782.08,0.0
CHL,Transient,Agent,0,43,16,122.15,16866.42,37.21
NLD,Transient-Party,Agent,0,169,3,103.41,54384.21,1.78
NLD,Contract,Agent,0,56,0,105.79,27540.03,0.0
DEU,Transient,Direct,0,123,6,104.53,33416.05,4.88
DEU,Transient-Party,Company,0,36,0,80.96,7481.68,0.0
POL,Contract,Agent,0,36,0,113.81,23283.06,0.0
GBR,Transient-Party,Company,0,444,1,59.44,113704.46,0.23
AUT,Contract,Agent,0,12,0,101.59,4197.69,0.0
BLR,Transient,Agent,0,18,7,102.76,8933.92,38.89
LTU,Transient,Agent,0,61,7,97.64,29242.33,11.48
LUX,Transient-Party,Direct,0,4,0,92.75,1157.0,0.0
LVA,Transient-Party,Agent,0,5,1,57.86,1231.9,20.0
AUT,Transient,Direct,0,27,2,106.07,7976.93,7.41
OMN,Transient,Agent,0,7,1,121.78,2201.16,14.29
TUR,Transient-Party,Agent,0,20,2,93.49,5604.6,10.0
BEL,Group,Agent,0,10,0,93.81,6699.9,0.0
ZAF,Transient,Agent,0,64,28,109.98,20117.5,43.75
AGO,Transient,Direct,0,62,4,103.3,21938.02,6.45
DEU,Transient-Party,Agent,0,667,27,89.42,189857.79,4.05
PRT,Contract,Direct,0,7,0,48.43,1047.0,0.0
ISR,Transient,Direct,0,8,0,127.94,2185.0,0.0
BEL,Transient,Direct,0,65,2,114.77,21969.58,3.08
ESP,Transient-Party,Direct,0,50,0,77.48,12743.5,0.0
FIN,Transient,Direct,0,26,1,87.03,6151.81,3.85
CYM,Transient-Party,Agent,0,1,0,40.5,162.0,0.0
BEL,Transient-Party,Agent,0,180,10,101.12,65199.34,5.56
ZMB,Transient,Agent,0,2,1,101.88,794.22,50.0
AUT,Transient-Party,Company,0,33,0,52.97,12398.6,0.0
AUT,Transient,Agent,0,689,156,117.67,287049.79,22.64
DEU,Transient,Company,0,29,0,88.93,5099.3,0.0
CPV,Transient,Direct,0,3,0,57.33,280.0,0.0
ESP,Transient-Party,Company,0,56,0,68.54,10004.4,0.0
ZWE,Transient,Agent,0,4,2,85.31,868.89,50.0
DZA,Transient,Agent,0,60,20,118.64,32242.89,33.33
BEL,Transient-Party,Company,0,54,1,65.69,11286.99,1.85
CZE,Transient-Party,Company,0,5,0,63.0,1211.0,0.0
SWE,Transient-Party,Agent,0,107,2,96.62,44464.14,1.87
RUS,Transient-Party,Agent,0,41,6,94.08,11532.15,14.63
NLD,Transient-Party,Company,0,42,1,58.51,8802.3,2.38
KOR,Transient,Agent,0,101,42,114.12,27725.63,41.58
AUS,Transient-Party,Agent,0,45,1,104.86,18309.92,2.22
POL,Transient-Party,Agent,0,63,2,87.86,22361.74,3.17
CRI,Transient,Agent,0,15,1,103.81,3767.94,6.67
HUN,Transient,Agent,0,166,65,116.02,74927.3,39.16
Unknown,Transient,Company,0,153,16,43.57,9779.5,10.46
GBR,Transient-Party,Direct,0,145,1,69.52,39286.13,0.69
POL,Transient-Party,Company,0,12,0,79.67,2782.0,0.0
ARE,Transient,Agent,0,45,41,138.32,28275.73,91.11
ITA,Transient-Party,Agent,0,423,31,98.46,121334.16,7.33
TUN,Transient,Agent,0,33,18,110.3,14566.14,54.55
ARG,Transient-Party,Agent,0,24,1,119.6,7557.59,4.17
ROU,Transient-Party,Company,0,3,0,100.0,550.0,0.0
JAM,Transient-Party,Agent,0,2,0,101.5,1157.0,0.0
POL,Transient,Direct,0,19,2,89.42,5161.58,10.53
HRV,Transient,Agent,0,69,23,114.63,32734.39,33.33
POL,Transient-Party,Direct,0,20,0,76.62,3924.38,0.0
HKG,Transient,Agent,0,23,21,131.76,7428.0,91.3
SWE,Transient,Direct,0,32,4,132.67,7727.4,12.5
ISR,Transient,Agent,0,307,132,132.94,114621.65,43.0
IRN,Transient,Agent,0,62,22,126.42,35501.43,35.48
GEO,Transient,Agent,0,16,14,162.25,14407.4,87.5
AND,Transient,Agent,0,7,5,202.65,6991.99,71.43
LUX,Transient,Direct,0,6,0,169.88,3103.0,0.0
TUR,Transient,Agent,0,162,95,120.7,66358.96,58.64
GIB,Transient,Agent,0,12,11,183.1,7628.72,91.67
URY,Transient,Agent,0,24,9,133.77,11789.04,37.5
JEY,Transient,Agent,0,7,7,123.14,2323.37,100.0
CAF,Transient,Agent,0,3,0,62.11,834.98,0.0
CYP,Transient,Agent,0,24,9,117.54,7176.75,37.5
USA,Transient-Party,Agent,0,146,8,109.66,45173.76,5.48
ROU,Transient-Party,Agent,0,41,0,88.77,13674.67,0.0
AUT,Transient-Party,Agent,0,141,10,93.57,45287.31,7.09
COL,Transient,Agent,0,53,23,123.32,15880.28,43.4
Unknown,Group,Company,0,2,1,0.0,0.0,50.0
GGY,Transient-Party,Agent,0,1,1,65.0,65.0,100.0
KWT,Transient,Agent,0,15,6,135.08,6826.82,40.0
NGA,Transient,Agent,0,29,17,120.84,15976.96,58.62
MDV,Transient,Agent,0,11,9,128.58,6670.1,81.82
VEN,Transient,Agent,0,15,8,104.83,5388.59,53.33
Unknown,Transient,Agent,0,111,2,67.0,28206.45,1.8
SVK,Transient,Agent,0,39,10,119.04,17082.63,25.64
AGO,Transient,Agent,0,235,185,125.62,288592.58,78.72
FJI,Transient,Agent,0,1,1,135.33,405.99,100.0
KAZ,Transient,Agent,0,15,5,149.07,8220.9,33.33
PAK,Transient,Agent,0,10,8,115.08,5675.38,80.0
IDN,Transient,Agent,0,23,14,133.38,9288.7,60.87
LBN,Transient,Agent,0,21,7,142.76,8495.01,33.33
PHL,Transient,Agent,0,31,19,147.98,13201.89,61.29
SEN,Transient,Agent,0,9,8,138.52,11670.76,88.89
SYC,Transient,Agent,0,2,1,132.13,614.25,50.0
AZE,Transient,Agent,0,13,7,116.87,8309.11,53.85
