hotel,arrival_date_year,arrival_date_month,market_segment,customer_type,total_bookings,estimated_revenue,avg_adr,avg_stay_duration
Resort Hotel,2015,July,Direct,Transient,207,138561.3,140.63,4.61
Resort Hotel,2015,July,Corporate,Transient,19,3874.86,137.93,1.53
Resort Hotel,2015,July,Online TA,Transient,431,260228.72,129.78,4.46
Resort Hotel,2015,July,Offline TA/TO,Contract,121,94599.54,94.64,7.93
Resort Hotel,2015,July,Offline TA/TO,Transient,150,108842.65,116.43,6.15
Resort Hotel,2015,July,Offline TA/TO,Transient-Party,18,12858.61,109.91,6.39
Resort Hotel,2015,July,Complementary,Transient,1,0.0,0.0,1.0
Resort Hotel,2015,July,Online TA,Transient-Party,26,12331.24,137.6,3.62
Resort Hotel,2015,July,Direct,Transient-Party,11,9349.52,153.21,5.36
Resort Hotel,2015,July,Groups,Transient-Party,7,1297.96,92.71,2.0
Resort Hotel,2015,July,Groups,Transient,2,428.0,107.0,2.0
Resort Hotel,2015,July,Online TA,Group,5,554.88,110.98,1.0
Resort Hotel,2015,August,Offline TA/TO,Transient,170,149409.93,131.75,6.57
Resort Hotel,2015,August,Online TA,Transient,454,339926.55,160.14,4.56
Resort Hotel,2015,August,Direct,Transient,234,226697.36,172.78,5.61
Resort Hotel,2015,August,Offline TA/TO,Contract,70,55087.15,107.38,7.61
Resort Hotel,2015,August,Direct,Transient-Party,23,24092.91,177.63,5.83
Resort Hotel,2015,August,Offline TA/TO,Transient-Party,20,14849.0,121.84,6.0
Resort Hotel,2015,August,Corporate,Transient,10,2160.35,142.03,1.6
Resort Hotel,2015,August,Groups,Transient-Party,3,615.0,205.0,1.0
Resort Hotel,2015,August,Online TA,Transient-Party,14,13362.66,149.91,6.64
Resort Hotel,2015,August,Groups,Transient,2,363.0,181.5,1.0
Resort Hotel,2015,August,Online TA,Group,4,449.6,112.4,0.75
Resort Hotel,2015,September,Online TA,Transient,296,139438.96,103.42,4.75
Resort Hotel,2015,September,Direct,Transient,136,71911.07,117.16,4.62
Resort Hotel,2015,September,Offline TA/TO,Contract,183,112610.57,68.78,9.04
Resort Hotel,2015,September,Online TA,Transient-Party,16,9714.52,126.04,4.56
Resort Hotel,2015,September,Offline TA/TO,Transient,139,70606.5,76.36,6.64
Resort Hotel,2015,September,Corporate,Transient,16,2118.8,98.43,1.44
Resort Hotel,2015,September,Corporate,Transient-Party,14,2534.69,97.74,1.93
Resort Hotel,2015,September,Direct,Transient-Party,13,6122.51,95.25,4.54
Resort Hotel,2015,September,Groups,Transient-Party,42,7532.44,67.74,2.83
Resort Hotel,2015,September,Complementary,Transient,1,0.0,0.0,1.0
Resort Hotel,2015,September,Online TA,Group,6,1146.0,96.13,1.83
Resort Hotel,2015,September,Offline TA/TO,Group,1,584.1,53.1,11.0
Resort Hotel,2015,September,Offline TA/TO,Transient-Party,43,8436.89,55.97,3.7
Resort Hotel,2015,October,Online TA,Transient-Party,24,2946.24,51.84,2.29
Resort Hotel,2015,October,Direct,Transient,150,29825.57,66.2,2.78
Resort Hotel,2015,October,Online TA,Transient,330,80329.09,64.35,3.64
Resort Hotel,2015,October,Offline TA/TO,Contract,70,27676.62,55.65,7.06
Resort Hotel,2015,October,Offline TA/TO,Transient,113,34956.52,52.44,5.52
Resort Hotel,2015,October,Offline TA/TO,Transient-Party,39,6169.1,52.41,2.97
Resort Hotel,2015,October,Corporate,Transient,49,3911.1,47.97,1.53
Resort Hotel,2015,October,Online TA,Group,2,571.92,68.16,4.0
Resort Hotel,2015,October,Corporate,Transient-Party,24,7875.7,65.0,5.37
Resort Hotel,2015,October,Complementary,Transient,9,30.0,0.67,2.0
Resort Hotel,2015,October,Corporate,Contract,13,1996.2,49.82,2.92
Resort Hotel,2015,October,Direct,Contract,11,1546.0,54.55,2.55
Resort Hotel,2015,October,Groups,Transient-Party,91,20978.86,46.05,4.53
Resort Hotel,2015,October,Groups,Transient,49,4592.0,42.6,2.27
Resort Hotel,2015,October,Direct,Transient-Party,12,2805.0,55.79,4.0
Resort Hotel,2015,November,Online TA,Transient,233,35980.09,52.17,2.8
Resort Hotel,2015,November,Offline TA/TO,Transient,138,22460.37,35.58,4.02
Resort Hotel,2015,November,Offline TA/TO,Contract,10,3258.3,42.53,6.5
Resort Hotel,2015,November,Direct,Transient,120,15170.97,55.06,2.1
Resort Hotel,2015,November,Corporate,Transient,78,6694.6,37.74,2.14
Resort Hotel,2015,November,Corporate,Transient-Party,116,31913.05,43.06,6.27
Resort Hotel,2015,November,Online TA,Transient-Party,11,3046.0,59.45,3.36
Resort Hotel,2015,November,Direct,Group,2,171.0,85.5,1.0
Resort Hotel,2015,November,Corporate,Contract,1,192.0,48.0,4.0
Resort Hotel,2015,November,Direct,Transient-Party,1,43.2,43.2,1.0
Resort Hotel,2015,November,Offline TA/TO,Transient-Party,18,4002.26,46.29,4.17
Resort Hotel,2015,November,Groups,Transient-Party,20,2234.5,38.27,2.95
Resort Hotel,2015,November,Complementary,Transient,11,128.0,8.91,1.91
Resort Hotel,2015,December,Online TA,Transient,281,51616.56,56.11,3.05
Resort Hotel,2015,December,Offline TA/TO,Transient,158,33903.25,48.37,4.16
Resort Hotel,2015,December,Direct,Transient,187,38285.31,80.74,2.24
Resort Hotel,2015,December,Offline TA/TO,Contract,6,1590.97,43.34,6.33
Resort Hotel,2015,December,Groups,Transient-Party,53,14301.82,82.35,3.15
Resort Hotel,2015,December,Offline TA/TO,Transient-Party,39,7948.47,42.04,3.69
Resort Hotel,2015,December,Direct,Transient-Party,4,650.1,54.17,3.0
Resort Hotel,2015,December,Online TA,Transient-Party,8,2009.77,53.94,4.25
Resort Hotel,2015,December,Groups,Transient,2,584.0,87.25,2.5
Resort Hotel,2016,January,Online TA,Transient-Party,5,176.04,35.21,0.4
Resort Hotel,2016,January,Online TA,Transient,274,36287.47,52.22,2.47
Resort Hotel,2016,January,Offline TA/TO,Transient,125,18733.35,33.48,4.14
Resort Hotel,2016,January,Offline TA/TO,Contract,3,2424.31,40.28,23.33
Resort Hotel,2016,January,Direct,Transient,208,20053.89,49.94,1.86
Resort Hotel,2016,February,Corporate,Transient,96,5430.5,33.92,1.65
